Identifiant,Âge,Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Années d'expérience,Possession de biens,Région,Type de contrat,Langue maternelle,Revenu annuel (DH),Âge doublé,Revenu approximatif,Code aléatoire
38016,46,Femme,fondamental,marié,Urbain,Groupe 1,34,Terrain,Rabat-Salé-Kénitra,CDD,arab,53450.0,92,82000.0,Y456
2282,29,Homme,supérieur,célibataire,Rural,Groupe 4,48,Logement,Casablanca-Settat,CDD,arab,22200.0,58,36000.0,X123
36630,49,Homme,fondamental,marié,Urbain,Groupe 6,34,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab,14140.0,98,23000.0,Y456
6088,69,Homme,secondaire,veuf,Urbain,Groupe 4,26,Aucun,Marrakech-Safi,CDD,arab,22194.0,138,36000.0,X123
11793,64,Homme,secondaire,célibataire,Urbain,Groupe 4,37,Terrain,Dakhla-Oued Ed-Dahab,CDD,amazigh,29147.0,128,42000.0,X123
10502,53,Femme,sans niveau,marié,Rural,Groupe 6,43,Aucun,Drâa-Tafilalet,CDI,arab,10392.0,106,17000.0,W000
9280,52,Homme,secondaire,marié,Urbain,Groupe 1,47,Terrain,Rabat-Salé-Kénitra,CDI,arab,76983.0,104,120000.0,Y456
35102,19,Femme,fondamental,marié,Rural,Groupe 4,16,Terrain,Guelmim-Oued Noun,CDD,arab,8926.0,38,14000.0,Z789
20383,36,Femme,sans niveau,marié,Urbain,Groupe 2,46,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,arab,45175.0,72,69000.0,Z789
39167,26,Femme,fondamental,marié,Rural,Groupe 5,21,Logement,Dakhla-Oued Ed-Dahab,CDD,arab,9367.0,52,15000.0,W000
25506,25,Homme,sans niveau,marié,Rural,Groupe 6,48,Aucun,Marrakech-Safi,CDI,amazigh,10872.0,50,18000.0,W000
31972,46,Homme,secondaire,célibataire,Urbain,Groupe 5,39,Terrain,Laâyoune-Sakia El Hamra,CDD,arab,23439.0,92,38000.0,X123
13153,43,Homme,sans niveau,célibataire,Urbain,Groupe 6,45,Aucun,Casablanca-Settat,sans contrat,arab,15029.0,86,24000.0,W000
33783,60,Femme,secondaire,célibataire,Urbain,Groupe 3,27,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab,35487.0,120,53000.0,W000
18070,64,Femme,sans niveau,célibataire,Urbain,Groupe 3,6,Logement,Souss-Massa,CDD,amazigh,18481.0,128,30000.0,Z789
25086,27,Femme,fondamental,marié,Urbain,Groupe 2,18,Aucun,Drâa-Tafilalet,CDD,amazigh,29256.0,54,43000.0,Z789
12982,38,Femme,sans niveau,marié,Urbain,Groupe 2,25,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab,39092.0,76,59000.0,X123
10040,25,Femme,fondamental,marié,Urbain,Groupe 2,20,Terrain,Marrakech-Safi,CDD,arab,31538.0,50,46000.0,Z789
6290,34,Femme,fondamental,marié,Rural,Groupe 6,45,Terrain,Tanger-Tétouan-Al Hoceïma,CDI,arab,10365.0,68,17000.0,Z789
22886,60,Homme,supérieur,marié,Urbain,Groupe 5,41,Voiture,Marrakech-Safi,CDD,arab,35229.0,120,52000.0,Z789
39280,25,Femme,fondamental,célibataire,Rural,Groupe 6,18,Aucun,Drâa-Tafilalet,CDI,arab,5621.0,50,9000.0,X123
18934,56,Femme,sans niveau,veuf,Urbain,Groupe 2,41,Terrain,Tanger-Tétouan-Al Hoceïma,CDI,amazigh,48349.0,112,74000.0,X123
28268,45,Femme,secondaire,célibataire,Rural,Groupe 6,7,Terrain,Tanger-Tétouan-Al Hoceïma,CDI,arab,5621.0,90,9000.0,Y456
32082,48,Femme,fondamental,célibataire,Urbain,Groupe 5,2,Logement,Drâa-Tafilalet,CDI,arab,11067.0,96,18000.0,X123
26273,29,Femme,fondamental,marié,Urbain,Groupe 5,39,Logement,L’Oriental,CDI,arab,18455.0,58,30000.0,Z789
7357,65,Femme,secondaire,marié,Urbain,Groupe 6,21,Terrain,Fès-Meknès,sans contrat,arab,12814.0,130,21000.0,Y456
5333,37,Femme,sans niveau,marié,Urbain,Groupe 6,11,Terrain,Souss-Massa,CDD,arab,9163.0,74,15000.0,W000
30899,56,Femme,sans niveau,marié,Urbain,Groupe 6,3,Voiture,Rabat-Salé-Kénitra,sans contrat,arab,9830.0,112,16000.0,W000
11618,62,Homme,secondaire,célibataire,Urbain,Groupe 1,1,Terrain,Souss-Massa,CDD,arab,45098.0,124,68000.0,X123
37888,61,Homme,fondamental,célibataire,Rural,Groupe 6,40,Voiture,Fès-Meknès,CDI,arab,11137.0,122,18000.0,Z789
608,52,Femme,secondaire,célibataire,Rural,Groupe 2,34,Aucun,Fès-Meknès,CDD,arab,31192.0,104,47000.0,Z789
5421,66,Homme,secondaire,marié,Rural,Groupe 2,0,Terrain,Souss-Massa,CDI,arab,14816.0,132,24000.0,W000
32340,35,Femme,secondaire,marié,Rural,Groupe 5,20,Terrain,Dakhla-Oued Ed-Dahab,sans contrat,arab,10345.0,70,17000.0,X123
24096,25,Homme,secondaire,marié,Rural,Groupe 3,24,Logement,Souss-Massa,CDI,arab,17324.0,50,28000.0,X123
10899,18,Homme,fondamental,célibataire,Urbain,Groupe 4,19,Voiture,Rabat-Salé-Kénitra,sans contrat,arab,17487.0,36,28000.0,X123
34631,43,Femme,fondamental,marié,Rural,Groupe 6,47,Terrain,L’Oriental,sans contrat,amazigh,10913.0,86,18000.0,Y456
31050,64,Femme,fondamental,célibataire,Urbain,Groupe 3,34,Logement,Rabat-Salé-Kénitra,sans contrat,arab,29317.0,128,43000.0,Y456
39378,37,Femme,sans niveau,marié,Urbain,Groupe 3,43,Aucun,Béni Mellal-Khénifra,sans contrat,arab,30304.0,74,44000.0,X123
17285,37,Femme,fondamental,marié,Urbain,Groupe 1,41,Terrain,Laâyoune-Sakia El Hamra,CDD,arab,56092.0,74,86000.0,X123
10990,31,Femme,sans niveau,marié,Urbain,Groupe 5,2,Voiture,Fès-Meknès,sans contrat,arab,11285.0,62,18000.0,Y456
24892,26,Femme,secondaire,marié,Urbain,Groupe 6,46,Voiture,L’Oriental,CDI,arab,17313.0,52,28000.0,Z789
25108,30,Homme,secondaire,marié,Urbain,Groupe 5,41,Logement,Fès-Meknès,CDD,arab,23228.0,60,38000.0,Y456
4196,51,Homme,sans niveau,célibataire,Rural,Groupe 4,47,Voiture,Casablanca-Settat,CDD,arab,20843.0,102,34000.0,W000
38090,42,Homme,sans niveau,marié,Urbain,Groupe 3,34,Voiture,Laâyoune-Sakia El Hamra,CDD,arab,33532.0,84,50000.0,W000
37101,32,Femme,supérieur,célibataire,Urbain,Groupe 2,34,Aucun,Casablanca-Settat,sans contrat,arab,49105.0,64,75000.0,Y456
19008,35,Femme,sans niveau,célibataire,Urbain,Groupe 4,18,Logement,Béni Mellal-Khénifra,CDD,arab,17060.0,70,28000.0,X123
26215,26,Homme,secondaire,divorcé,Urbain,Groupe 6,25,Logement,Tanger-Tétouan-Al Hoceïma,CDI,amazigh,13882.0,52,23000.0,Z789
13917,31,Homme,sans niveau,célibataire,Urbain,Groupe 2,27,Voiture,Casablanca-Settat,CDI,arab,42769.0,62,65000.0,X123
28564,42,Homme,fondamental,célibataire,Urbain,Groupe 5,18,Terrain,Casablanca-Settat,CDD,arab,14712.0,84,24000.0,W000
10982,40,Homme,secondaire,célibataire,Urbain,Groupe 6,39,Terrain,Laâyoune-Sakia El Hamra,CDD,amazigh,16282.0,80,26000.0,Y456
10810,69,Homme,fondamental,marié,Rural,Groupe 6,19,Logement,Béni Mellal-Khénifra,CDD,arab,7097.0,138,12000.0,Y456
13260,35,Homme,sans niveau,célibataire,Urbain,Groupe 1,44,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,arab,60550.0,70,93000.0,Z789
34282,41,Femme,sans niveau,célibataire,Rural,Groupe 4,9,Aucun,Guelmim-Oued Noun,CDI,arab,7749.0,82,13000.0,Y456
12834,67,Femme,supérieur,célibataire,Urbain,Groupe 5,2,Aucun,Rabat-Salé-Kénitra,sans contrat,arab,16132.0,134,26000.0,W000
7430,64,Femme,sans niveau,marié,Urbain,Groupe 6,2,Aucun,Rabat-Salé-Kénitra,CDD,arab,7784.0,128,13000.0,W000
39459,64,Femme,fondamental,marié,Urbain,Groupe 6,21,Logement,Souss-Massa,sans contrat,arab,10957.0,128,18000.0,W000
23877,41,Homme,fondamental,célibataire,Urbain,Groupe 1,5,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab,34809.0,82,52000.0,W000
21983,37,Homme,secondaire,marié,Urbain,Groupe 6,13,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,arab,11849.0,74,19000.0,W000
35470,46,Homme,secondaire,marié,Urbain,Groupe 2,29,Logement,Tanger-Tétouan-Al Hoceïma,CDD,arab,50540.0,92,77000.0,X123
12695,68,Femme,sans niveau,célibataire,Urbain,Groupe 6,43,Logement,Rabat-Salé-Kénitra,sans contrat,arab,15505.0,136,25000.0,X123
21600,32,Homme,secondaire,célibataire,Rural,Groupe 4,1,Terrain,Rabat-Salé-Kénitra,sans contrat,arab,7400.0,64,12000.0,Y456
24828,42,Homme,secondaire,célibataire,Urbain,Groupe 6,17,Logement,Souss-Massa,CDD,amazigh,13493.0,84,22000.0,Y456
13515,34,Homme,fondamental,marié,Rural,Groupe 5,24,Logement,Béni Mellal-Khénifra,CDD,arab,10679.0,68,17000.0,Y456
16750,48,Femme,sans niveau,divorcé,Urbain,Groupe 5,44,Voiture,Souss-Massa,CDD,amazigh,23208.0,96,38000.0,Z789
21711,67,Homme,secondaire,célibataire,Urbain,Groupe 5,43,Aucun,Guelmim-Oued Noun,sans contrat,amazigh,23083.0,134,37000.0,Y456
