Âge,Années d'expérience,Revenu annuel (DH),Sexe,Niveau d'éducation,Urbain/Rural,Catégorie socioprofessionnelle,Langue maternelle,État matrimonial_divorcé,État matrimonial_marié,État matrimonial_veuf,Possession de biens_Logement,Possession de biens_Terrain,Possession de biens_Voiture,Région_Casablanca-Settat,Région_Dakhla-Oued Ed-Dahab,Région_Drâa-Tafilalet,Région_Fès-Meknès,Région_Guelmim-Oued Noun,Région_Laâyoune-Sakia El Hamra,Région_L’Oriental,Région_Marrakech-Safi,Région_Rabat-Salé-Kénitra,Région_Souss-Massa,Région_Tanger-Tétouan-Al Hoceïma,Type de contrat_CDI,Type de contrat_sans contrat
20.0,11.0,17416.0,1,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
24.0,48.0,17416.0,0,0,1,4,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
28.0,45.0,17416.0,1,0,1,3,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
40.0,48.0,17416.0,1,0,0,5,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
67.0,3.0,17416.0,0,0,1,2,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60.0,34.0,17416.0,1,0,0,1,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
26.0,23.0,17416.0,1,0,1,0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
68.0,3.0,17416.0,0,0,1,4,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36.0,6.0,17416.0,1,0,1,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
56.0,13.0,17416.0,0,0,1,5,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
55.0,37.0,17416.0,0,0,0,4,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
45.0,37.0,17416.0,1,0,1,5,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
27.0,5.0,17416.0,1,0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
29.0,33.0,17416.0,0,0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20.0,31.0,17416.0,0,0,1,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
19.0,37.0,17416.0,1,0,1,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
32.0,28.0,17416.0,1,0,1,4,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
58.0,39.0,17416.0,0,0,1,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
58.0,18.0,17416.0,1,0,1,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
63.0,33.0,17416.0,0,0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
27.0,0.0,17416.0,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
66.0,1.0,17416.0,0,0,0,4,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
25.0,32.0,17416.0,0,0,0,3,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
64.0,10.0,17416.0,0,0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
47.0,14.0,17416.0,0,0,1,4,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
53.0,22.0,17416.0,0,0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
63.0,2.0,17416.0,1,0,1,4,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
59.0,28.0,17416.0,1,0,1,4,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
52.0,30.0,17416.0,0,0,1,3,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
49.0,17.0,17416.0,1,0,1,2,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
49.0,25.0,17416.0,1,0,1,4,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
34.0,31.0,17416.0,1,0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
34.0,27.0,17416.0,0,0,0,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39.0,6.0,17416.0,1,0,0,4,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
57.0,21.0,17416.0,0,0,1,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
39.0,47.0,17416.0,1,0,0,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
