Âge,Années d'expérience,Revenu annuel (DH),Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Possession de biens,Région,Type de contrat,Langue maternelle
56.0,7.0,7000.0,Femme,fondamental,célibataire,Rural,Groupe 5,Logement,Béni Mellal-Khénifra,CDI,arab
69.0,10.0,10282.0,Homme,fondamental,marié,Urbain,Groupe 6,Voiture,Guelmim-Oued Noun,CDD,arab
46.0,10.0,34036.0,Homme,fondamental,veuf,Urbain,Groupe 2,Voiture,Guelmim-Oued Noun,CDD,arab
32.0,34.0,14793.0,Femme,supérieur,célibataire,Rural,Groupe 5,Terrain,Casablanca-Settat,CDI,arab
60.0,14.0,9782.0,Femme,sans niveau,marié,Rural,Groupe 4,Aucun,Rabat-Salé-Kénitra,sans contrat,arab
25.0,7.0,14092.0,Homme,sans niveau,célibataire,Urbain,Groupe 4,Terrain,Laâyoune-Sakia El Hamra,sans contrat,amazigh
38.0,21.0,34721.0,Femme,fondamental,célibataire,Urbain,Groupe 2,Logement,Tanger-Tétouan-Al Hoceïma,CDD,arab
56.0,33.0,26798.0,Femme,sans niveau,marié,Rural,Groupe 2,Aucun,Dakhla-Oued Ed-Dahab,CDD,arab
36.0,39.0,16359.0,Homme,fondamental,marié,Rural,Groupe 4,Logement,Guelmim-Oued Noun,sans contrat,amazigh
40.0,45.0,42492.0,Homme,supérieur,célibataire,Urbain,Groupe 3,Terrain,Marrakech-Safi,sans contrat,arab
28.0,29.0,12439.0,Femme,secondaire,célibataire,Urbain,Groupe 6,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab
28.0,0.0,23926.0,Femme,secondaire,célibataire,Urbain,Groupe 2,Aucun,Souss-Massa,CDD,amazigh
41.0,6.0,11348.0,Homme,fondamental,marié,Urbain,Groupe 5,Aucun,Marrakech-Safi,CDI,arab
53.0,38.0,23131.0,Femme,sans niveau,célibataire,Urbain,Groupe 4,Terrain,Béni Mellal-Khénifra,CDD,amazigh
57.0,2.0,7981.0,Homme,secondaire,marié,Rural,Groupe 5,Terrain,Dakhla-Oued Ed-Dahab,CDI,arab
41.0,6.0,19320.0,Homme,secondaire,célibataire,Urbain,Groupe 4,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab
20.0,22.0,18735.0,Femme,fondamental,marié,Urbain,Groupe 3,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab
39.0,25.0,10413.0,Homme,supérieur,marié,Rural,Groupe 6,Logement,Souss-Massa,CDI,arab
19.0,11.0,42876.0,Homme,supérieur,célibataire,Urbain,Groupe 2,Terrain,Guelmim-Oued Noun,CDI,arab
41.0,34.0,42109.0,Homme,fondamental,marié,Urbain,Groupe 2,Terrain,Rabat-Salé-Kénitra,CDD,arab
61.0,29.0,13956.0,Homme,sans niveau,célibataire,Urbain,Groupe 6,Logement,Marrakech-Safi,CDD,arab
47.0,32.0,19899.0,Homme,fondamental,marié,Urbain,Groupe 4,Aucun,Laâyoune-Sakia El Hamra,CDD,amazigh
55.0,48.0,38758.0,Femme,supérieur,marié,Urbain,Groupe 4,Voiture,Fès-Meknès,CDD,amazigh
19.0,29.0,23842.0,Homme,sans niveau,célibataire,Rural,Groupe 2,Aucun,Drâa-Tafilalet,CDI,arab
38.0,8.0,8420.0,Homme,fondamental,célibataire,Rural,Groupe 4,Voiture,L’Oriental,CDD,arab
50.0,35.0,49865.0,Homme,secondaire,célibataire,Urbain,Groupe 2,Aucun,Fès-Meknès,sans contrat,amazigh
29.0,10.0,4942.0,Femme,sans niveau,marié,Rural,Groupe 6,Terrain,L’Oriental,CDD,arab
39.0,1.0,33353.0,Homme,fondamental,marié,Urbain,Groupe 1,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
61.0,12.0,10149.0,Homme,sans niveau,marié,Rural,Groupe 4,Logement,Laâyoune-Sakia El Hamra,CDD,arab
42.0,7.0,17164.0,Homme,secondaire,marié,Urbain,Groupe 4,Aucun,Marrakech-Safi,CDD,arab
66.0,38.0,12135.0,Homme,secondaire,célibataire,Rural,Groupe 6,Voiture,Marrakech-Safi,sans contrat,amazigh
44.0,15.0,29522.0,Femme,secondaire,marié,Rural,Groupe 1,Terrain,Souss-Massa,CDD,arab
59.0,35.0,21959.0,Femme,sans niveau,célibataire,Urbain,Groupe 5,Voiture,Drâa-Tafilalet,CDI,arab
45.0,12.0,18165.0,Homme,sans niveau,veuf,Rural,Groupe 2,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
33.0,1.0,36314.0,Femme,secondaire,célibataire,Urbain,Groupe 1,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab
32.0,38.0,13719.0,Femme,fondamental,célibataire,Urbain,Groupe 6,Voiture,Drâa-Tafilalet,CDD,arab
64.0,2.0,37253.0,Femme,sans niveau,marié,Urbain,Groupe 1,Logement,Dakhla-Oued Ed-Dahab,sans contrat,amazigh
68.0,5.0,19786.0,Homme,sans niveau,célibataire,Urbain,Groupe 3,Logement,Guelmim-Oued Noun,CDI,arab
61.0,11.0,10459.0,Homme,fondamental,marié,Urbain,Groupe 6,Voiture,Béni Mellal-Khénifra,CDD,arab
69.0,11.0,8980.0,Homme,sans niveau,marié,Rural,Groupe 4,Aucun,Guelmim-Oued Noun,CDD,arab
20.0,23.0,18620.0,Homme,fondamental,marié,Urbain,Groupe 4,Voiture,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
54.0,48.0,44205.0,Homme,secondaire,marié,Urbain,Groupe 3,Voiture,Drâa-Tafilalet,CDI,arab
68.0,6.0,19149.0,Homme,fondamental,marié,Urbain,Groupe 3,Voiture,Fès-Meknès,CDD,arab
24.0,48.0,43879.0,Femme,supérieur,célibataire,Rural,Groupe 2,Voiture,Drâa-Tafilalet,CDI,arab
38.0,23.0,22831.0,Femme,sans niveau,marié,Rural,Groupe 2,Logement,Fès-Meknès,CDD,amazigh
